machine,bufsize,itime
mrbox-ssd,24,0.919234
mrbox-ssd,32,0.488327
mrbox-ssd,64,0.175146
mrbox-ssd,128,0.109533
mrbox-ssd,256,0.092555
mrbox-ssd,512,0.08761
mrbox-ssd,1024,0.08472
mrbox-ssd,2048,0.083519
mrbox-ssd,4096,0.082026
mrbox-ssd,8192,0.081214
mrbox-ssd,16384,0.081091
mrbox-ssd,32768,0.081446
mrbox-hdd,24,4.08075
mrbox-hdd,32,2.45128
mrbox-hdd,64,1.00063
mrbox-hdd,128,0.565521
mrbox-hdd,256,0.388531
mrbox-hdd,512,0.312858
mrbox-hdd,1024,0.280791
mrbox-hdd,2048,0.263072
mrbox-hdd,4096,0.253734
mrbox-hdd,8192,0.242987
mrbox-hdd,16384,0.233695
mrbox-hdd,32768,0.186621
mrvaio,24,3.8229
mrvaio,32,3.01351
mrvaio,64,1.44404
mrvaio,128,1.11245
mrvaio,256,1.06578
mrvaio,512,1.03286
mrvaio,1024,1.01636
mrvaio,2048,1.08089
mrvaio,4096,1.01182
mrvaio,8192,1.03201
mrvaio,16384,1.00025
mrvaio,32768,0.980224